Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Meteorological,Extreme temperature,Cold wave,BEL,Belgium,Western Europe,Europe,,,1963,12.0
Meteorological,Storm,Storm (General),USA,United States of America,Northern America,Americas,,,1963,26.0
Hydrological,Flood,Flood (General),MAR,Morocco,Northern Africa,Africa,,,1963,100.0
Meteorological,Extreme temperature,Cold wave,USA,United States of America,Northern America,Americas,,,1963,150.0
Meteorological,Storm,Storm (General),JPN,Japan,Eastern Asia,Asia,,,1963,86.0
Hydrological,Flood,Flood (General),JOR,Jordan,Western Asia,Asia,,,1963,25.0
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,1963,112.0
Hydrological,Flood,Flood (General),AFG,Afghanistan,Southern Asia,Asia,,,1963,107.0
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,Asia,,,1963,106.0
Meteorological,Storm,Storm (General),JPN,Japan,Eastern Asia,Asia,,,1963,47.0
Hydrological,Flood,Flood (General),BGD,Bangladesh,Southern Asia,Asia,,,1963,30.0
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1963,200.0
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1963,79.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1963,
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,1963,203.0
Climatological,Drought,Drought,PRY,Paraguay,Latin America and the Caribbean,Americas,,,1963,
Biological,Epidemic,Bacterial disease,VNM,Viet Nam,South-eastern Asia,Asia,,,1964,598.0
Hydrological,Flood,Flood (General),BRA,Brazil,Latin America and the Caribbean,Americas,,,1964,100.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1964,38.0
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.2,120.6,1964,107.0
Biological,Epidemic,Viral disease,TUR,Türkiye,Western Asia,Asia,,,1964,19.0
Geophysical,Earthquake,Ground movement,AZO,Azores Islands,Southern Europe,Europe,38.8,-28.4,1964,
Geophysical,Volcanic activity,Ash fall,CHL,Chile,Latin America and the Caribbean,Americas,,,1964,4.0
Hydrological,Flood,Flood (General),TUR,Türkiye,Western Asia,Asia,,,1964,
Hydrological,Flood,Flood (General),FJI,Fiji,Melanesia,Oceania,,,1964,1.0
Geophysical,Earthquake,Tsunami,USA,United States of America,Northern America,Americas,60.908,-147.339,1964,131.0
Hydrological,Flood,Flood (General),BRA,Brazil,Latin America and the Caribbean,Americas,,,1964,
Hydrological,Flood,Flash flood,SAU,Saudi Arabia,Western Asia,Asia,,,1964,20.0
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,1964,300.0
Hydrological,Flood,Flood (General),KEN,Kenya,Sub-Saharan Africa,Africa,,,1964,
Hydrological,Flood,Riverine flood,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,,,1964,
Geophysical,Earthquake,Ground movement,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,-2.31,32.56,1964,4.0
Meteorological,Storm,Hail,TUR,Türkiye,Western Asia,Asia,,,1964,
Geophysical,Earthquake,Ground movement,MEX,Mexico,Latin America and the Caribbean,Americas,18.136,-100.605,1964,45.0
Meteorological,Storm,Tropical cyclone,PAK,Pakistan,Southern Asia,Asia,,,1964,450.0
